EZABPQM;Mnémo;Date_Attribution
020007;BJTP;13/01/2011
020008;COMP;17/03/2011
020009;IDOM;01/09/2011
020012;ZEOP;21/09/2017
020030;SFR0;08/12/2011
020031;ODIG;01/02/2019
020041;IZAL;21/10/2022
020042;AVMI;01/03/2016
020043;NETE;09/09/2015
020044;FREE;12/09/2001
020066;COMP;20/09/2007
020067;ELTT;15/04/2024
020070;SFR0;08/12/2011
020078;COMP;06/11/2007
020079;SFR0;03/09/2019
020080;ALNI;06/05/2010
020144;FREE;12/09/2001
020150;BOUY;16/12/2010
020151;BOUY;16/12/2010
020152;BOUY;16/12/2010
020153;BOUY;16/12/2010
020154;BOUY;16/12/2010
020155;BOUY;16/12/2010
020156;BOUY;16/12/2010
020157;BOUY;16/12/2010
020158;BOUY;16/12/2010
020159;BOUY;16/12/2010
020160;BOUY;24/01/2001
020161;BOUY;24/01/2001
020162;BOUY;24/01/2001
020163;BOUY;24/01/2001
020165;LABS;04/05/2026
020166;COMP;03/01/2001
020176;COMP;17/01/2012
020244;FREE;12/09/2001
020265;BEET;14/04/2015
020266;COMP;29/03/2007
020268;ATST;30/04/2025
020290;WENG;25/01/2005
020344;FREE;12/09/2001
020400;NETT;16/08/2023
020401;SFR0;08/12/2011
020402;SFR0;08/12/2011
020403;SFR0;08/12/2011
020404;SFR0;08/12/2011
020411;SFR0;08/12/2011
020412;SFR0;08/12/2011
020444;FREE;12/09/2001
020500;DIAB;17/11/2021
020501;IPDI;30/04/2025
020502;MIAS;27/02/2023
020503;MIAS;27/02/2023
020504;OPEN;07/05/2025
020505;WRDL;13/02/2026
020506;LABS;02/03/2026
020507;SRR;01/01/2024
020508;SRR;01/01/2024
020509;SFR0;01/01/2024
020511;ZEOP;13/05/2024
020512;BEET;30/10/2024
020513;SVCM;13/02/2025
020514;RMII;04/03/2025
020515;TLVX;19/06/2026
020516;NXFR;11/06/2025
020517;FRTE;01/01/2024
020518;ODIG;26/01/2024
020519;IDOM;11/04/2024
020520;OPEN;07/05/2025
020522;SRR;01/01/2024
020523;SRR;01/01/2024
020524;BEET;30/10/2024
020525;ODIG;14/11/2024
020526;RMII;08/04/2025
020527;DGLP;16/09/2025
020528;NIMU;23/12/2025
020529;SVCM;21/01/2026
020530;BJTP;14/04/2026
020537;FRTE;01/01/2024
020538;SFR0;01/01/2024
020539;IDOM;11/04/2024
020540;DGLP;12/01/2026
020541;NIMU;30/01/2026
020542;ALPL;04/05/2026
020615;FRTE;01/01/2017
020622;FRTE;01/01/2017
020623;FRTE;01/01/2017
020624;FRTE;01/01/2017
020625;FRTE;01/01/2017
020626;FRTE;01/01/2017
020629;FRTE;01/01/2017
020630;FRTE;01/01/2017
020631;FRTE;01/01/2017
020632;FRTE;01/01/2017
020633;FRTE;01/01/2017
020634;FRTE;01/01/2017
020635;FRTE;01/01/2017
020636;FRTE;01/01/2017
020637;FRTE;01/01/2017
020638;FRTE;01/01/2017
020639;FRTE;01/01/2017
020641;FRTE;01/01/2017
020642;FRTE;01/01/2017
020643;FRTE;01/01/2017
020644;FRTE;01/01/2017
020645;FRTE;01/01/2017
020646;FRTE;01/01/2017
020647;FRTE;01/01/2017
020648;FRTE;01/01/2017
020649;FRTE;01/01/2017
020650;FRTE;01/01/2017
020651;FRTE;01/01/2017
020652;FRTE;01/01/2017
020653;FRTE;01/01/2017
020654;FRTE;01/01/2017
020655;FRTE;01/01/2017
020656;FRTE;01/01/2017
020657;FRTE;01/01/2017
020658;FRTE;01/01/2017
020659;FRTE;01/01/2017
020661;FRTE;01/01/2017
020662;FRTE;01/01/2017
020663;FRTE;01/01/2017
020664;FRTE;01/01/2017
020667;FRTE;01/01/2017
020672;FRTE;01/01/2017
020673;FRTE;01/01/2017
020674;FRTE;01/01/2017
020675;FRTE;01/01/2017
020676;FRTE;01/01/2017
020680;FRTE;01/01/2017
020682;FRTE;01/01/2017
020683;FRTE;01/01/2017
020684;FRTE;01/01/2017
020685;FRTE;01/01/2017
020686;FRTE;01/01/2017
020687;FRTE;01/01/2017
020688;FRTE;01/01/2017
020710;FRTE;01/01/2017
020753;FRTE;01/01/2017
020880;FREE;08/01/2009
020955;COMP;06/11/2008
020961;COMP;06/11/2008
020971;COMP;06/11/2008
030002;SYSE;22/05/2012
030033;SFR0;08/12/2011
030034;JAG;16/05/2024
030035;ORBS;23/11/2023
030040;FREE;09/09/2003
030042;UBIC;28/12/2017
030043;UBIC;04/01/2018
030044;FREE;12/09/2001
030054;COMP;11/10/2005
030066;COMP;16/07/1999
030080;ALNI;06/05/2010
030100;ADSL;13/09/2021
030123;PJT3;26/02/2021
030144;FREE;12/09/2001
030150;BOUY;16/12/2010
030151;BOUY;16/12/2010
030152;BOUY;16/12/2010
030153;BOUY;16/12/2010
030154;BOUY;16/12/2010
030155;BOUY;16/12/2010
030156;BOUY;16/12/2010
